Nom de produit;Marque;Prix;Prix avant remise;Taille;Pourcentage
Boisson gazeuse;VIVA;2.100;2.490;1L;-16%
Boisson gazeuse;TROPICO;2.100;2.490;1L;-16%
Boisson gazeuse;RAOUA;2.100;2.490;1L;-16%
Boisson gazeuse existe en plusieurs saveurs ;VIVA;1.150;1.330;24 cl;-14%
Boisson gazeuse ;RAOUA;1.150;1.330;24 cl;-14%
Boisson au jus existe en plusieurs saveurs;OH!;3.250;3.750;1L;-13%
Boisson au jus existe en plusieurs saveurs;OH!;1.090;1.270;25 cl;-14%
Jus orange;DIVA;6.050;7.290;1L;-17%
Boisson au jus existe en plusieurs saveurs;JUGO KIDS;0.590;0.690;125 ml;-14%
Boisson au jus existe en plusieurs saveurs;FRUZZY;0.440;0.590;125 ml;-25%
boisson en jus existe en plusieurs saveurs ;FRUZZY;0.670;0.790;18 cl;-15%
Pr‚paration pour boisson instantan‚e existe en plusieurs saveurs;FRUIT'O;0.890;;30 gr;
