Nom de produit;Marque;Prix;Prix avant remise;Taille;Pourcentage
Œufs;KOLL YOUM;12.730;13.380;;
Crème à tartiner aux noisettes;KOLL YOUM;10.990;11.990;;
Steak de dinde;EL MAZRAA;15.700;16.980;kilo;
Escalope panée;EL MAZRAA;2.600;3.150;100 gr ;-17%
Kabeb de dinde;EL MAZRAA;1.950;2.135;100 gr;
Cordon bleu pané ;EL MAZRAA;2.090;2.285;100 gr;
Seiches nettoyés;MAHJOUB;1.700;1.980;100 gr;
jambon de poulet fumé;EL MAZRAA;2.300;2.750;100 gr;-16%
Jambon de dinde;CHAHIA;1.500;1.750;100 gr;
Salami famille;CHAHIA;0.900;1.060; 100 gr;
Fromage EDAM;LAND'OR;4.600;5.200;100 gr;-12%
Fromage râpé;LAND'OR;3.100;3.550;100 gr;-12%
Fromage mozzarella pasta filata;LAND'OR;3.300;3.800;100 gr;
Spécialité laitière brassée;PTIT TOP/Y'AB;0.380;0.430;70 gr;
Yaourt aromatisé;DÉLICE;0.490;0.540;100 gr;
Crème dessert au chocolat Liégeois;Y'AB;0.750;0.870; 13 cl;-14%
Yaourt à boire maxi;NATILAIT;1.580;1.820;350 gr;
Crème dessert;NATILAIT;0.700;0.800;100 gr;-13%
Boisson lactée;VITALIO;0.900;0.990;20 cl;
DÉLICE;DÉLICE;1.400;1.550; 420 gr;-10%
Yaourt a boire Maxi;NATILAIT;1.580;1.820;;-13%
Ricotta;DÉLICE MILKANA;2.750;3.320;140 gr;-17%
Margarine;GOLDINA;4.100;4.900;400 gr;-16%
Fromage en tranches;LAND'OR;4.280;5.740;;-25%
Fromage fondu;DELICE / MILKANA;13.920;16.180;;
Fromage râpé à l'emmental;LAND'OR;5.200;6.880;150 gr;
Fromage fondu râpé;FROMY;10.580;8.580;280 gr;-19%
Fromage à tartiner Fraidoux;PRÉSIDENT;4.800;5.950;;
Crème de cuisson le squeeze ;STREET & GO;3.980;4.980;400 gr;-20%
Mozza pizza le boyau;LANDOR;2.600;3.380;270 gr;-23%
Œufs;EL MAZRAA;13.280;14.700;;-10%
