web-scraper-order,web-scraper-start-url,base,produit,marque,taille,prix
"1736669748-1","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Eau minérale DÉLICE 1.5L","DÉLICE","La bouteille de 1.5L",""
"1736669748-2","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Eau minérale DÉLICE 1.5L","DÉLICE","","0
            dt
            680"
"1736669748-3","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Eau minérale  SAFIA 1.5L","SAFIA","La bouteille de 1.5L",""
"1736669748-4","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Eau minérale  SAFIA 1.5L","SAFIA","","0
            dt
            690"
"1736669748-5","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Eau minérale TIJEN 1.5L","TIJEN","La bouteille de 1.5L",""
"1736669748-6","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Eau minérale TIJEN 1.5L","TIJEN","","0
            dt
            670"
"1736669748-7","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Eau minérale SABRINE 1.5L","SABRINE","La bouteille de 1.5L",""
"1736669748-8","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Eau minérale SABRINE 1.5L","SABRINE","","0
            dt
            670"
"1736669748-9","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","COCA COLA zéro","COCA COLA","La canette de 24cl",""
"1736669748-10","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","COCA COLA zéro","COCA COLA","","1
            dt
            270"
"1736669748-11","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","COCA COLA 24cl","COCA COLA","La canette de 24cl",""
"1736669748-12","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","COCA COLA 24cl","COCA COLA","","1
            dt
            270"
"1736669748-13","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","COCA COLA","COCA COLA","La bouteille de 1L",""
"1736669748-14","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","COCA COLA","COCA COLA","","2
            dt
            360"
"1736669748-15","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","BOGA cidre","BOGA","La bouteille de 1L",""
"1736669748-16","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","BOGA cidre","BOGA","","2
            dt
            360"
"1736669748-17","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","ORANGINA","ORANGINA","La canette de 24cl",""
"1736669748-18","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","ORANGINA","ORANGINA","","1
            dt
            560"
"1736669748-19","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Boisson énergétique Red Bull 25cl","RED BULL","La canette de 25cl",""
"1736669748-20","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","Boisson énergétique Red Bull 25cl","RED BULL","","5
            dt
            990"
"1736669748-21","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","ORANGINA","ORANGINA","La bouteille de 1.2L",""
"1736669748-22","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","ORANGINA","ORANGINA","","3
            dt
            250"
"1736669748-23","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","BOGA lim","BOGA","La bouteille de 1.5L",""
"1736669748-24","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","BOGA lim","BOGA","","3
            dt
            250"
"1736669748-25","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","FANTA orange 24cl","FANTA","La canette de 24cl",""
"1736669748-26","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","FANTA orange 24cl","FANTA","","1
            dt
            320"
"1736669748-27","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","APLA pomme","APLA","La bouteille de 1L",""
"1736669748-28","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","APLA pomme","APLA","","2
            dt
            590"
"1736669748-29","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","BOGA lim","BOGA","La canette de 24cl",""
"1736669748-30","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","BOGA lim","BOGA","","1
            dt
            160"
"1736669748-31","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","BOGA lim","BOGA","","1
            dt
            320"
"1736669748-32","https://www.carrefour.tn/default/mes-courses-alimentaires/boissons.html","","SCHWEPPES tonic","SCHWEPPES","La canette de 24cl",""
