web-scraper-order,web-scraper-start-url,base,produit,marque,taille,prix
"1736676393-1","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Couscous fin express 4min","DIAIRI","Le paquet de 500g",""
"1736676393-2","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Couscous fin express 4min","DIAIRI","","0
            dt
            870"
"1736676393-3","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Mesfouf express 2min","DIARI","Le paquet de 500g",""
"1736676393-4","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Mesfouf express 2min","DIARI","","0
            dt
            870"
"1736676393-5","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier à l'huile végétale CAP BLANC","CAP BLANC","La boite de 400g",""
"1736676393-6","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier à l'huile végétale CAP BLANC","CAP BLANC","","8
            dt
            290"
"1736676393-7","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier à l'huile végétale CAP BLANC","CAP BLANC","","9
            dt
            380"
"1736676393-8","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier à l'huile d'olive","CARREFOUR","La boite de 160g",""
"1736676393-9","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier à l'huile d'olive","CARREFOUR","","7
            dt
            550"
"1736676393-10","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile de maïs","SAFI","Le bidon de 3L",""
"1736676393-11","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile de maïs","SAFI","","22
            dt
            140"
"1736676393-12","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Double concentré de tomates","LE PETIT PARIS","La boite de 800g",""
"1736676393-13","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Double concentré de tomates","LE PETIT PARIS","","4
            dt
            450"
"1736676393-14","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Double concentré de tomates","SICAM","La boite de 800g",""
"1736676393-15","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Double concentré de tomates","SICAM","","4
            dt
            450"
"1736676393-16","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Double concentré de tomates","JOUDA","La boite de 800g",""
"1736676393-17","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Double concentré de tomates","JOUDA","","4
            dt
            430"
"1736676393-18","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Tomates pelées concassées en cube","SICAM","La boite de 400g",""
"1736676393-19","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Tomates pelées concassées en cube","SICAM","","2
            dt
            350"
"1736676393-20","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Double concentré de tomates","SICAM","La boite de 400g",""
"1736676393-21","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Double concentré de tomates","SICAM","","2
            dt
            600"
"1736676393-22","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier à l'huile végétale","LA GOULETTE","La boite de 400g",""
"1736676393-23","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier à l'huile végétale","LA GOULETTE","","14
            dt
            690"
"1736676393-24","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier naturel","EL MANAR","La boite de 400g",""
"1736676393-25","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier naturel","EL MANAR","","15
            dt
            490"
"1736676393-26","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier à l'huile d'olive","EL MANAR","La boite de 160g",""
"1736676393-27","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon entier à l'huile d'olive","EL MANAR","","8
            dt
            390"
"1736676393-28","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon en miettes à l'huile végétale","EL BADR","La boite de 82g",""
"1736676393-29","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Thon en miettes à l'huile végétale","EL BADR","","3
            dt
            060"
"1736676393-30","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Sardines de méditerranée à l'huile de tournesol","EL MANAR","La boite de 125g",""
"1736676393-31","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Sardines de méditerranée à l'huile de tournesol","EL MANAR","","2
            dt
            990"
"1736676393-32","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile végétale","JADIDA","Le bidon de 5L",""
"1736676393-33","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile végétale","JADIDA","","22
            dt
            400"
"1736676393-34","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile de colza","SAFI","Le bidon de 5L",""
"1736676393-35","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile de colza","SAFI","","26
            dt
            090"
"1736676393-36","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile de maïs","LESIEUR","La bouteille de 1L",""
"1736676393-37","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile de maïs","LESIEUR","","6
            dt
            750"
"1736676393-38","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile de friture","SAFI","La bouteille de 1.8L",""
"1736676393-39","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Huile de friture","SAFI","","8
            dt
            610"
"1736676393-40","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Spaghetti n°2","RANDA","Le paquet de 500g",""
"1736676393-41","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Spaghetti n°2","RANDA","","0
            dt
            410"
"1736676393-42","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Fell n°2","WARDA","Le paquet de 500g",""
"1736676393-43","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Fell n°2","WARDA","","0
            dt
            410"
"1736676393-44","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Langue d'oiseau","WARDA","Le paquet de 500g",""
"1736676393-45","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Langue d'oiseau","WARDA","","0
            dt
            410"
"1736676393-46","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Plume n°2","WARDA","Le paquet de 500g",""
"1736676393-47","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Plume n°2","WARDA","","0
            dt
            430"
"1736676393-48","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Cheveux d'anges","WARDA","Le paquet de 500g",""
"1736676393-49","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Cheveux d'anges","WARDA","","0
            dt
            430"
"1736676393-50","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Escargot n°2","WARDA","Le paquet de 500g",""
"1736676393-51","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Escargot n°2","WARDA","","0
            dt
            430"
"1736676393-52","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Nouasser","WARDA","Le paquet de 500g",""
"1736676393-53","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Nouasser","WARDA","","1
            dt
            670"
"1736676393-54","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Cheveux d'anges","L'EPI D'OR","Le paquet de 500g",""
"1736676393-55","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-salee.html","","Cheveux d'anges","L'EPI D'OR","","0
            dt
            430"
