web-scraper-order,web-scraper-start-url,base,produit,marque,taille,prix
"1736675726-1","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture d'abricots","CARREFOUR","Le pot de 360g",""
"1736675726-2","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture d'abricots","CARREFOUR","","5
            dt
            190"
"1736675726-3","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture de fraises","CARREFOUR","Le pot de 360g",""
"1736675726-4","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture de fraises","CARREFOUR","","5
            dt
            990"
"1736675726-5","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture extra de coings","CARREFOUR","Le pot de 360g",""
"1736675726-6","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture extra de coings","CARREFOUR","","5
            dt
            190"
"1736675726-7","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Lait concentré sucré au lait entier NESTLÉ","NESTLÉ","La boite de 370g avec ouverture facile",""
"1736675726-8","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Lait concentré sucré au lait entier NESTLÉ","NESTLÉ","","Prix Spécial
        
        
            8
            dt
            490
            
        
    
        
    
    
        


            Prix normal
        
        
            9
            dt
            990"
"1736675726-9","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Lait concentré sans sucre","MILCOW","La boîte de 410g",""
"1736675726-10","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Lait concentré sans sucre","MILCOW","","7
            dt
            550"
"1736675726-11","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture de figues","CARREFOUR","Le pot de 360g",""
"1736675726-12","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture de figues","CARREFOUR","","6
            dt
            190"
"1736675726-13","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture aux fruits des bois","CARREFOUR","Le pot de 360g",""
"1736675726-14","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture aux fruits des bois","CARREFOUR","","5
            dt
            390"
"1736675726-15","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture de framboises","CARREFOUR","Le pot de 360g",""
"1736675726-16","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Confiture de framboises","CARREFOUR","","8
            dt
            890"
"1736675726-17","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Capsules de café Expresso Moka N°6","CARREFOUR","Le paquet de 10 capsules",""
"1736675726-18","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Capsules de café Expresso Moka N°6","CARREFOUR","","9
            dt
            290"
"1736675726-19","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Capsules de café Expresso Intenso N°8","CARREFOUR","Le paquet de 10 capsules",""
"1736675726-20","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Capsules de café Expresso Intenso N°8","CARREFOUR","","9
            dt
            290"
"1736675726-21","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Capsules de café Expresso Corsé N°10","CARREFOUR","Le paquet de 10 capsules",""
"1736675726-22","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Capsules de café Expresso Corsé N°10","CARREFOUR","","9
            dt
            290"
"1736675726-23","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux amandes","N°1","La boite de 550g",""
"1736675726-24","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux amandes","N°1","","9
            dt
            590"
"1736675726-25","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux amandes","N°1","La boite de 350g",""
"1736675726-26","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux amandes","N°1","","6
            dt
            890"
"1736675726-27","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux pistaches","N°1","La boite de 350g",""
"1736675726-28","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux pistaches","N°1","","8
            dt
            890"
"1736675726-29","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux pistaches","N°1","La boite de 550g",""
"1736675726-30","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux pistaches","N°1","","12
            dt
            890"
"1736675726-31","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Sucre petits morceaux","LE NECTAR","La boite de 1Kg",""
"1736675726-32","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Sucre petits morceaux","LE NECTAR","","4
            dt
            300"
"1736675726-33","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Miel naturel","LE GOURMET","Le pot de 500g",""
"1736675726-34","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Miel naturel","LE GOURMET","","27
            dt
            900"
"1736675726-35","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Biscuits cookies au beurre Delights","TIFFANY","Le paquet de 80g",""
"1736675726-36","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Biscuits cookies au beurre Delights","TIFFANY","","2
            dt
            990"
"1736675726-37","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Crème à tartiner aux noisettes et cacao","DANELLA","Le pot de 1kg",""
"1736675726-38","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Crème à tartiner aux noisettes et cacao","DANELLA","","12
            dt
            390"
"1736675726-39","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Bonbons fizz mix","HARIBO","",""
"1736675726-40","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Bonbons fizz mix","HARIBO","","5
            dt
            990"
"1736675726-41","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Bonbons fizz worms","HARIBO","",""
"1736675726-42","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Bonbons fizz worms","HARIBO","","5
            dt
            990"
"1736675726-43","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Boîte surprise Racing care","DANA","",""
"1736675726-44","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Boîte surprise Racing care","DANA","","7
            dt
            080"
"1736675726-45","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Flocon d'avoine","EDEN","",""
"1736675726-46","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Flocon d'avoine","EDEN","","5
            dt
            090"
"1736675726-47","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Biscuits nappé au chocolat","CHOCO TOON","",""
"1736675726-48","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Biscuits nappé au chocolat","CHOCO TOON","","Prix Spécial
        
        
            1
            dt
            690
            
        
    
        
    
    
        


            Prix normal
        
        
            1
            dt
            760"
"1736675726-49","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Biscuits prouta whey protéine","LBM","",""
"1736675726-50","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Biscuits prouta whey protéine","LBM","","4
            dt
            390"
"1736675726-51","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Bonbons soda party fizz","HARIBO","",""
"1736675726-52","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Bonbons soda party fizz","HARIBO","","6
            dt
            050"
"1736675726-53","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Bonbons kolalas","HARIBO","",""
"1736675726-54","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Bonbons kolalas","HARIBO","","6
            dt
            490"
"1736675726-55","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Céréales au chocolat Space Ball","OZMO","Le paquet de 325g",""
"1736675726-56","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Céréales au chocolat Space Ball","OZMO","","10
            dt
            660"
"1736675726-57","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux fruits secs et chamia naturelle","SHEHRAZAD","Lot de 2 boites 700g et 200g",""
"1736675726-58","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Chamia aux fruits secs et chamia naturelle","SHEHRAZAD","","21
            dt
            900"
"1736675726-59","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Grain d'Or dattes","GRAIN D'OR","Le paquet de 250g",""
"1736675726-60","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","","Grain d'Or dattes","GRAIN D'OR","","5
            dt
            290"
"1736675732-61","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","biscuits cookies aux pépites de chocolat","LBM","Le paquet de 140g",""
"1736675732-62","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","biscuits cookies aux pépites de chocolat","LBM","","2
            dt
            300"
"1736675732-63","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Assortiment bonbons sweet's saveur café","EMADE","Le sachet de 150g",""
"1736675732-64","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Assortiment bonbons sweet's saveur café","EMADE","","2
            dt
            160"
"1736675732-65","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Assortiment bonbons à la menthe","EMADE","Le sachet de 150g",""
"1736675732-66","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Assortiment bonbons à la menthe","EMADE","","2
            dt
            160"
"1736675732-67","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Biscuit tout chocolat sablito","SAÏDA","Le paquet de 128g",""
"1736675732-68","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Biscuit tout chocolat sablito","SAÏDA","","2
            dt
            000"
"1736675732-69","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Cake rollo vanille","MOULIN D'OR","La pièce de 45g",""
"1736675732-70","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Cake rollo vanille","MOULIN D'OR","","0
            dt
            870"
"1736675732-71","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Cake rollo cacao","MOULIN D'OR","La pièce de 45g",""
"1736675732-72","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Cake rollo cacao","MOULIN D'OR","","1
            dt
            090"
"1736675732-73","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Gaufrette croustina black & white","SAÏDA","Le paquet de 100g",""
"1736675732-74","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Gaufrette croustina black & white","SAÏDA","","1
            dt
            350"
"1736675732-75","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Bonbons au cocktail de fruits","GO!","La boite de 42g",""
"1736675732-76","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Bonbons au cocktail de fruits","GO!","","2
            dt
            890"
"1736675732-77","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Bonbons aux fruits rouge","GO!","La boite de 42g",""
"1736675732-78","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Bonbons aux fruits rouge","GO!","","2
            dt
            890"
"1736675732-79","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Bonbons à la menthe light","GO!","La boite de 42g",""
"1736675732-80","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Bonbons à la menthe light","GO!","","2
            dt
            890"
"1736675732-81","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Bonbons à la menthe wintergreen light","GO!","La boite de 42g",""
"1736675732-82","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Bonbons à la menthe wintergreen light","GO!","","2
            dt
            890"
"1736675732-83","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Cornets en Biscuits","SELJA","Le paquet de 18 pièces",""
"1736675732-84","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Cornets en Biscuits","SELJA","","3
            dt
            290"
"1736675732-85","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Chamia nature","YA MAL CHAM","La boite de 700g
Ingrédients: Pâte de Sésame, sucre, sirop de glucose, émulsifiant végétale (E471), agent moussant; extrait de racines saponaires, acidifiant: acide citrique, Vanilline, arôme identique nature",""
"1736675732-86","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Chamia nature","YA MAL CHAM","","Prix Spécial
        
        
            10
            dt
            900
            
        
    
        
    
    
        


            Prix normal
        
        
            14
            dt
            850"
"1736675732-87","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Coffret chocolat prestige","PÂTISSERIE FATHALLAH","L'assortiment de 40 pièces",""
"1736675732-88","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Coffret chocolat prestige","PÂTISSERIE FATHALLAH","","72
            dt
            500"
"1736675732-89","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café soluble aggloméré","BRAVA","Le bocal de 200g",""
"1736675732-90","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café soluble aggloméré","BRAVA","","21
            dt
            990"
"1736675732-91","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Miel bio organique","LE GOURMET","Le pot de 1kg",""
"1736675732-92","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Miel bio organique","LE GOURMET","","47
            dt
            990"
"1736675732-93","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Arôme intense 10","L'OR","L'OR",""
"1736675732-94","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Arôme intense 10","L'OR","","17
            dt
            590"
"1736675732-95","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Biscuits au beurre","BISKART","Le paquet de 180g",""
"1736675732-96","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Biscuits au beurre","BISKART","","2
            dt
            200"
"1736675732-97","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café soluble","NESTLÉ","Le paquet de 24 sticks de 1.8g",""
"1736675732-98","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café soluble","NESTLÉ","","6
            dt
            930"
"1736675732-99","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café soluble","BONDIN","La recharge de 100g",""
"1736675732-100","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café soluble","BONDIN","","12
            dt
            200"
"1736675732-101","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café Nescafé Gold","NESCAFE","Le bocal de 47.5g",""
"1736675732-102","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café Nescafé Gold","NESCAFE","","17
            dt
            450"
"1736675732-103","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Madeleine","LE PÂTISSIER","Le paquet de 400g",""
"1736675732-104","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Madeleine","LE PÂTISSIER","","5
            dt
            190"
"1736675732-105","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café soluble fine mousse","MAXWELL HOUSE","Le bocal de 45g",""
"1736675732-106","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Café soluble fine mousse","MAXWELL HOUSE","","12
            dt
            630"
"1736675732-107","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Lot de cake choco choc","MOULIN D'OR","Pack de 4 pièces",""
"1736675732-108","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Lot de cake choco choc","MOULIN D'OR","","2
            dt
            460"
"1736675732-109","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Créme patissiére","SMART CHEF","Le lot de 3 sachets de 40g",""
"1736675732-110","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Créme patissiére","SMART CHEF","","Prix Spécial
        
        
            0
            dt
            600
            
        
    
        
    
    
        


            Prix normal
        
        
            0
            dt
            670"
"1736675732-111","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html","https://www.carrefour.tn/default/mes-courses-alimentaires/epicerie-sucree.html?p=2","Préparation Bouza à la noisettes","VANOISE","Le lot de 2 paquets de 75g",""
