web-scraper-order,web-scraper-start-url,base,produit,marque,taille,prix
"1736677199-1","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Mulet","","Au kg",""
"1736677199-2","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Mulet","","","9
            dt
            900"
"1736677199-3","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Oignon blanc","","Au Kg",""
"1736677199-4","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Oignon blanc","","","2
            dt
            900"
"1736677199-5","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Tomate allongée","","Au Kg",""
"1736677199-6","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Tomate allongée","","","1
            dt
            725"
"1736677199-7","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Poireau","","Au Kg",""
"1736677199-8","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Poireau","","","3
            dt
            450"
"1736677199-9","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Pomme de terre","","Au Kg",""
"1736677199-10","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Pomme de terre","","","2
            dt
            300"
"1736677199-11","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Carotte sans fanes","","Au Kg",""
"1736677199-12","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Carotte sans fanes","","","2
            dt
            875"
"1736677199-13","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Escalope de poulet","","Au Kg",""
"1736677199-14","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Escalope de poulet","","","16
            dt
            000"
"1736677199-15","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Daurade sauvage","","Au kg",""
"1736677199-16","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Daurade sauvage","","","32
            dt
            990"
"1736677199-17","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Crevette grand calibre royale","_","Au kg",""
"1736677199-18","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Crevette grand calibre royale","_","","69
            dt
            900"
"1736677199-19","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Pavé de veau","","Au Kg",""
"1736677199-20","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Pavé de veau","","","55
            dt
            900"
"1736677199-21","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Courgette","","Au Kg",""
"1736677199-22","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Courgette","","","1
            dt
            725"
"1736677199-23","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Ail","","Au Kg",""
"1736677199-24","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Ail","","","9
            dt
            770"
"1736677199-25","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Piment Baklouti","","Au Kg",""
"1736677199-26","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Piment Baklouti","","","4
            dt
            600"
"1736677199-27","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Piment fort","","Au Kg",""
"1736677199-28","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Piment fort","","","2
            dt
            875"
"1736677199-29","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Tomate cerise","","Au Kg",""
"1736677199-30","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Tomate cerise","","","5
            dt
            750"
"1736677199-31","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Haricot vert","","Au Kg",""
"1736677199-32","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Haricot vert","","","5
            dt
            750"
"1736677199-33","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Brochette de poulet","EL MAZRAA","au kg",""
"1736677199-34","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Brochette de poulet","EL MAZRAA","","24
            dt
            500"
"1736677199-35","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Merou blanc","","Au kg",""
"1736677199-36","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Merou blanc","","","68
            dt
            750"
"1736677199-37","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Poisson pataclet sbares","","Au kg",""
"1736677199-38","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Poisson pataclet sbares","","","11
            dt
            500"
"1736677199-39","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Chou-rave","","Au Kg",""
"1736677199-40","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Chou-rave","","","3
            dt
            450"
"1736677199-41","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Piment doux","","Au Kg",""
"1736677199-42","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Piment doux","","","3
            dt
            450"
"1736677199-43","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Chou vert","","La pièce",""
"1736677199-44","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Chou vert","","","1
            dt
            725"
"1736677199-45","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Basilic en barquette","","De 200g à 250g",""
"1736677199-46","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Basilic en barquette","","","2
            dt
            875"
"1736677199-47","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Pagre","","Au kg",""
"1736677199-48","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Pagre","","","69
            dt
            900"
"1736677199-49","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Poisson baliste","","Au kg",""
"1736677199-50","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Poisson baliste","","","29
            dt
            900"
"1736677199-51","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Poulet prêt à cuire","","Le kg",""
"1736677199-52","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Poulet prêt à cuire","","","8
            dt
            500"
"1736677199-53","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Maquereau","","Au kg",""
"1736677199-54","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Maquereau","","","18
            dt
            900"
"1736677199-55","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Bonite blanc","","Au kg",""
"1736677199-56","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Bonite blanc","","","15
            dt
            900"
"1736677199-57","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Œufs frais","N°1","Le plateau de 30 œufs",""
"1736677199-58","https://www.carrefour.tn/default/catalog/category/view/s/fromages-et-cremerie/id/193/","","Œufs frais","N°1","","13
            dt
            000"
