web-scraper-order,web-scraper-start-url,base,produit,marque,taille,prix
"1736678009-1","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage fondu râpé","FROMY","Le sachet de 1kg","30
            dt
            490"
"1736678009-2","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage gruyère","MAJESTE","Au Kg","55
            dt
            900"
"1736678009-3","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Lait demi-écrémé U.H.T","DÉLICE","La brique de 1L","1
            dt
            350"
"1736678009-4","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Beurre extra fin","VITALAIT","La plaquette de 100g","3
            dt
            350"
"1736678009-5","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Œufs blancs frais","N°1","Le plateau de 15 oeufs","6
            dt
            790"
"1736678009-6","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Yaourt à la grecque Oikos nature","DÉLICE DANONE","Le pot de 100g","0
            dt
            950"
"1736678009-7","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Œufs frais jaune-orange","N°1","Le plateau de 30 oeufs","13
            dt
            700"
"1736678009-8","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage frais à tartiner Milkana Tarti'frais","DÉLICE","La barquette de 240g","5
            dt
            450"
"1736678009-9","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Crème dessert chocolat Danette","DÉLICE DANONE","Le pot de 100g","0
            dt
            700"
"1736678009-10","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage Goutta du Nord","DÉLICE","Le pot de 330g","6
            dt
            100"
"1736678009-11","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage râpé au gruyère","DÉLICE","Le sachet de 120g","4
            dt
            840"
"1736678009-12","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage et biscuits croustillants Goûter","PRÉSIDENT","Le paquet de 4 portions","3
            dt
            100"
"1736678009-13","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Œufs frais Oméga 3","EL MAZRAA","La boite de 6 oeufs","4
            dt
            390"
"1736678009-14","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Œufs frais","N°1","Le plateau de 30 œufs","13
            dt
            000"
"1736678009-15","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage râpé 100%  Emmental","LAND'OR","Le sachet de 150g","8
            dt
            980"
"1736678009-16","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage blanc fondu Carré","PRÉSIDENT","Le paquet de 12 pièces","4
            dt
            990"
"1736678009-17","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage en tranches hamburger","LAND'OR","Le paquet de 5 pièces","2
            dt
            940"
"1736678009-18","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage râpé spécial gratin","PRÉSIDENT","Le sachet de 110g","5
            dt
            400"
"1736678009-19","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage fondu spécial hamburger","CARREFOUR","Le sachet de 10 tranches","4
            dt
            190"
"1736678009-20","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage râpé à l'emmental","CARREFOUR","Le sachet de 320g","10
            dt
            290"
"1736678009-21","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage râpé fondant à l'emmental","CARREFOUR","Le sachet de 120g","4
            dt
            290"
"1736678009-22","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Préparation alimentaire râpée","N°1","Le sachet de 50g","1
            dt
            050"
"1736678009-23","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Préparation alimentaire râpée","N°1","Le sachet de 120g","2
            dt
            050"
"1736678009-24","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage fondu à tartiner","CARREFOUR","La boite de 24 portions","7
            dt
            490"
"1736678009-25","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Préparation alimentaire fondu","N°1","La boite de 24 portions","3
            dt
            190"
"1736678009-26","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage mozzarella 100 % lait","","Au kg","45
            dt
            500"
"1736678009-27","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Fromage fondu au cheddar","LE FONDANT","Le paquet de 24 slices","4
            dt
            790"
"1736678009-28","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Yaourt gourmant Oikos tarte au citron","DÉLICE DANONE","Le pot de 100g","1
            dt
            190"
"1736678009-29","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Yaourt Gourmant Oikos Banoffee","DÉLICE DANONE","Le pot de 100g","1
            dt
            190"
"1736678009-30","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","","Beurre extra fin","VAGA","Au kg","45
            dt
            300"
"1736678019-31","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Yaourt à boire aux fruits des bois Max","DÉLICE DANONE","Le pot de 330g","1
            dt
            760"
"1736678019-32","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Yaourt à boire vanille Max","DÉLICE DANONE","Le pot de 330g","1
            dt
            760"
"1736678019-33","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Yaourt à boire fraise Max","DÉLICE DANONE","Le pot de 330g","1
            dt
            760"
"1736678019-34","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Fromage edam rouge","VAGA DAIRY","","55
            dt
            900"
"1736678019-35","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Fromage frais au poivre Rondelé","PRÉSIDENT","La boite de 90g","3
            dt
            300"
"1736678019-36","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Fromage frais ail & fines herbes Rondelé","PRÉSIDENT","Le pot de 110g","4
            dt
            940"
"1736678019-37","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Tomme de Bizerte","LE FORT","Au Kg","56
            dt
            900"
"1736678019-38","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Crème de cuisson","STREET & CO","La bouteille de 400g","4
            dt
            890"
"1736678019-39","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Sauce cheddar","STREET & CO","La bouteille de 425g","9
            dt
            480"
"1736678019-40","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Fromage mozzarelle Boccon","FIORE","Le sachet de 125g net","7
            dt
            620"
"1736678019-41","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Yaourt brassé caramel banane","VITALAIT","Le pot de 70g","0
            dt
            420"
"1736678019-42","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Fromage Pecorino","DUVRAI","Au kg","59
            dt
            600"
"1736678019-43","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Yaourt brassé au quinoa et aux ananas Blendy","DÉLICE DANONE","Le pot de 120g","1
            dt
            120"
"1736678019-44","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Yaourt à boire To Go fraise banane","YAB","La bouteille de 100g","1
            dt
            140"
"1736678019-45","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Yaourt brassé saveur biscuit vanille","YAB","Le pot de 70g","0
            dt
            430"
"1736678019-46","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Yaourt brassé saveur biscuit fraise","YAB","Le pot de 70g","0
            dt
            430"
"1736678019-47","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Yaourt brassé saveur biscuit citron","YAB","Le pot de 70g","0
            dt
            430"
"1736678019-48","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Boisson lactée Danao farise banane","DÉLICE DANONE","La brique de 20cl","0
            dt
            990"
"1736678019-49","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html","https://www.carrefour.tn/default/mes-courses-alimentaires/cremerie.html?p=2","Fromage à tartiner nature","ST MORET","La barquette de 130g","4
            dt
            990"
