web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736617915-1;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Boisson lactée milkshake;DELICE;220GR Chocolat;1.050 DT
1736617915-2;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;DELICE DANONE;70GR Fraise;0.410 DT
1736617915-3;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé aromatisé;VITALAIT;70GR Banane et caramel;0.430 DT
1736617915-4;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;VITALAIT;70GR Pistache;0.430 DT
1736617915-5;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière br...;NATILAIT;70GR Vanille-Biscuit;0.430 DT
1736617915-6;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;YAB;70GR Biscuit-Fraise;0.430 DT
1736617915-7;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;P'TIT TOP;70GR Vanille;0.430 DT
1736617915-8;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;NATILAIT;70GR Fraise - Gaufrettes;0.430 DT
1736617915-9;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;NATILAIT;70GR Fraise;0.430 DT
1736617915-10;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;VITALAIT;70GR Vanille;0.430 DT
1736617915-11;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;P'TIT TOP;70GR Abricot;0.430 DT
1736617915-12;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;VITALAIT;70GR Fraise/banane;0.430 DT
1736617915-13;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;DELICE DANONE;70GR Fraise/biscuit;0.410 DT
1736617915-14;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;NATILAIT;70GR Vanille;0.430 DT
1736617915-15;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;DELICE DANONE;70GR Vanille/biscuit;0.410 DT
1736617915-16;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;YAB;70GR Biscuit-Vanille;0.430 DT
1736617915-17;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé aromatisé;VITALAIT;70GR Tutti frutti;0.430 DT
1736617915-18;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;NATILAIT;110GR Noix de coco;0.530 DT
1736617915-19;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;NATILAIT;100GR Citron;0.530 DT
1736617915-20;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;NATILAIT;110GR Nature;0.530 DT
1736617915-21;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;NATILAIT;110GR Banane;0.530 DT
1736617915-22;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;NATILAIT;100GR Fruits exotiques;0.530 DT
1736617915-23;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;NATILAIT;100GR Fruits des bois;0.530 DT
1736617915-24;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;VITALAIT;110GR Fraise;0.535 DT
1736617915-25;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;VITALAIT;110GR Vanille;0.535 DT
1736617915-26;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;VITALAIT;110GR Citron;0.535 DT
1736617915-27;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;VITALAIT;110GR Fruits des bois;0.535 DT
1736617915-28;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;VITALAIT;110GR Banane;0.535 DT
1736617915-29;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;VITALAIT;110GR Pêche/abricot;0.535 DT
1736617915-30;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;VITALAIT;110GR Nature;0.535 DT
1736617915-31;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;VITALAIT;110GR Noix de coco;0.535 DT
1736617915-32;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;DELICE DANONE;110GR Vanille;0.540 DT
1736617915-33;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;DELICE DANONE;110GR Fruits des bois;0.540 DT
1736617915-34;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;DELICE DANONE;110GR Pomme vanille;0.540 DT
1736617915-35;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;DELICE DANONE;110GR Fruits exotiques;0.540 DT
1736617915-36;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;DELICE DANONE;110GR Noix de coco;0.540 DT
1736617915-37;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;DELICE DANONE;110GR Abricot;0.540 DT
1736617915-38;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;YAB;100GR Noix de coco Mono;0.555 DT
1736617915-39;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;YAB;100GR Fraise-Banane;0.555 DT
1736617915-40;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;YAB;100GR Banane Mono;0.555 DT
1736617915-41;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;YAB;100GR Fraise Mono;0.555 DT
1736617915-42;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aromatisé;YAB;100GR Vanille Mono;0.555 DT
1736617915-43;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière br...;DELICE DANONE;100GR Vanille;0.560 DT
1736617915-44;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;DELICE DANONE;100GR Vanille/Biscuit;0.560 DT
1736617915-45;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière br...;DELICE DANONE;100GR Fraise;0.560 DT
1736617915-46;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;VITALAIT;100GR Fraise;0.620 DT
1736617915-47;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;NATILAIT;100GR Fraise;0.620 DT
1736617915-48;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;VITALAIT;100GR Vanille;0.620 DT
1736617915-49;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;NATILAIT;100GR Vanille;0.620 DT
1736617915-50;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt brassé;VITALAIT;100GR Pistache;0.620 DT
1736617915-51;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aux fruits;VITALAIT;100GR Mixes fraise;0.720 DT
1736617915-52;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DELICE DANONE;150GR Fraise;0.720 DT
1736617915-53;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DELICE DANONE;150GR Panaché;0.720 DT
1736617915-54;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aux fruits;VITALAIT;100GR Mixes mangue;0.720 DT
1736617915-55;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt nature 0%;VITALAIT;100GR Bifi;0.730 DT
1736617915-56;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITUPTI;110GR Vanille;0.780 DT
1736617915-57;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;DOLCE VITALAIT;100GR Noisette;0.780 DT
1736617915-58;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;DOLCE VITALAIT;100GR Chocolat;0.780 DT
1736617915-59;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;DANETTE;95GR Vanille;0.780 DT
1736617915-60;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;DANETTE;95GR Praliné;0.780 DT
1736617915-61;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;NATILAIT;100GR Chocolat;0.700 DT
1736617915-62;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;DANETTE;95GR Chocolat intense;0.780 DT
1736617915-63;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITUPTI;110GR Fraise;0.780 DT
1736617915-64;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Mousse;YAB;12CL Chocolat;0.730 DT
1736617915-65;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;PLAISIR Y'AB;100GR Chocolat;0.790 DT
1736617915-66;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Flan;DANETTE;95GR Caramel;0.800 DT
1736617915-67;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;DOLCE VITALAIT;70GR Duo;0.810 DT
1736617915-68;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Fromage fondu goûter;PRESIDENT;23GR;0.820 DT
1736617915-69;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Boisson lactée;NATILAIT;160GR Pêche-Abricot;0.820 DT
1736617915-70;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aux fruits;DELICE DANONE;95GR Cerise;0.840 DT
1736617915-71;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière au...;VITALAIT;100GR Ananas;0.840 DT
1736617915-72;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière au...;VITALAIT;100GR Pêche;0.840 DT
1736617915-73;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aux fruits;DELICE DANONE;95GR Ananas;0.840 DT
1736617915-74;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Liégeois;YAB;12CL Chocolat;0.850 DT
1736617915-75;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait aromatisé;DELISSO;20CL Fraise;0.850 DT
1736617915-76;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Liegeois;DANETTE;12CL;0.850 DT
1736617915-77;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait aromatisé;DELISSO;20CL Chocolat;0.850 DT
1736617915-78;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à la grecque;MYKONOS;80GR Pêche-Abricot;0.860 DT
1736617915-79;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aux fruits;ACTIVIA;95GR Pêche;0.870 DT
1736617915-80;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aux fruits;NATILAIT;100GR Fraise;0.870 DT
1736617915-81;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt aux fruits;NATILAIT;100GR Pêche;0.870 DT
1736617915-82;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;Y'AB;100GR Zgougou Plaisir;0.880 DT
1736617915-83;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;DANETTE;100GR Zgougou - Crème...;0.890 DT
1736617915-84;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;VITALAIT;100GR Fruits des bois...;0.900 DT
1736617915-85;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;NATILAIT;100GR Noisette;0.910 DT
1736617915-86;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;160GR Pomme/vanille;0.940 DT
1736617915-87;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;160GR Tropical guarana;0.940 DT
1736617915-88;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;160GR Céréales/fruits;0.940 DT
1736617915-89;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;160GR Fraise;0.940 DT
1736617915-90;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt grec;OIKOS;100GR Nature;0.950 DT
1736617915-91;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;Y'AB;160GR Fraise;0.880 DT
1736617915-92;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à la grecque;OIKOS;100GR Fraise;0.950 DT
1736617915-93;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITALAIT;170GR Pinacolada;0.850 DT
1736617915-94;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;Y'AB;160GR Noix de coco;0.880 DT
1736617915-95;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITUP;170GR Fraise;0.850 DT
1736617915-96;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à la grecque;OIKOS;100GR Pêche-Abricot;0.950 DT
1736617915-97;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;YAB;160 GR Pèche abricot;0.880 DT
1736617915-98;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Fromage blanc;JOCKEY;90GR Nature sucré;0.950 DT
1736617915-99;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITUP;170GR Vanille;0.850 DT
1736617915-100;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;160GR Melba - Pêche;0.950 DT
1736617915-101;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;160GR Vanille;0.950 DT
1736617915-102;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;160GR Tropical mix;0.950 DT
1736617915-103;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;Y'AB;160GR Vanille;0.880 DT
1736617915-104;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert;DOLCE VITALAIT;100GR Zgougou;0.960 DT
1736617915-105;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Liégeois;DOLCE;12CL Chocolat;0.960 DT
1736617915-106;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à la grecque;GRECOS;100GR Fraise;0.960 DT
1736617915-107;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à la grecque;GRECOS;100GR Nature sucré;0.960 DT
1736617915-108;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Boisson lactée;VITALIO;200ML Pêche/abricot;0.990 DT
1736617915-109;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt mix;YAB;100GR Aux fruits...;1.000 DT
1736617915-110;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt mix;YAB;100GR Aux fruits...;1.000 DT
1736617915-111;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITALAIT;170GR Fruits des bois...;1.050 DT
1736617915-112;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Boisson lactée milkshake;DELICE;220GR Banane;1.050 DT
1736617915-113;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Boisson lactée;DELICE;220GR Déli...;1.050 DT
1736617915-114;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Boisson lactée milkshake;DELICE;220GR Vanille;1.050 DT
1736617915-115;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;BLENDY;120GR Quinoa. ananas...;1.120 DT
1736617915-116;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert à boire;PLAISIR;170GR Café;1.140 DT
1736617915-117;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert à boire;PLAISIR;170GR Chocolat;1.140 DT
1736617915-118;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;DELICE;120 GR Poire graine de...;1.140 DT
1736617915-119;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;DELICE DANONE;120GR Céréales....;1.140 DT
1736617915-120;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;DELICE DANONE;120GR...;1.140 DT
1736617915-121;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Jus de fruit et lait;VITALIO;250ML Pêche/Abricot;1.150 DT
1736617915-122;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;TARTI FRO;100GR;1.150 DT
1736617915-123;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Jus de fruit et lait;VITALIO;250ML 5 Fruits;1.150 DT
1736617915-124;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Jus de fruits et lait;DANAO;250ML Pêche-Abricot;1.150 DT
1736617915-125;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Jus de fruits et lait;DANAO;250ML Mangue-Pomme-Kiwi;1.150 DT
1736617915-126;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à la grecque;OIKOS;100GR Gourmand-Banoffee;1.190 DT
1736617915-127;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR Vanille;1.200 DT
1736617915-128;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;260GR Vanille;1.050 DT
1736617915-129;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR Tropical;1.200 DT
1736617915-130;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;260GR Fraise;1.050 DT
1736617915-131;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR Pêche-Melba;1.200 DT
1736617915-132;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;260GR Céréales/Fruits;1.050 DT
1736617915-133;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR...;1.200 DT
1736617915-134;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR Fraise;1.200 DT
1736617915-135;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITUP;270GR Pinacolada MAX;1.210 DT
1736617915-136;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITUP;260GR Vanille MAX;1.210 DT
1736617915-137;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;Y'AB;260GR Fraise;1.250 DT
1736617915-138;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait 1/2 écrémé;VITALAIT;1 L;1.300 DT
1736617915-139;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait UHT 1/2 écrémé;DELICE;1 L;1.350 DT
