web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736613405-1;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;DELICE;250ML;0.300 DT
1736613405-2;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson instantannée;JOUTO;7GR Citron;0.350 DT
1736613405-3;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson instantannée;JOUTO;7GR Cocktail;0.350 DT
1736613405-4;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;AQUALINE;0.5L;0.400 DT
1736613405-5;https://www.geantdrive.tn/tunis-city/10-boissons;Eau plate;JEKTISS;0.5L;0.400 DT
1736613405-6;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;MARWA;0.5L;0.420 DT
1736613405-7;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;CRISTALINE;0.5L;0.420 DT
1736613405-8;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;SAFIA;0.5L;0.420 DT
1736613405-9;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;MELLITI;0.5L;0.420 DT
1736613405-10;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;MELINA;0.5L;0.420 DT
1736613405-11;https://www.geantdrive.tn/tunis-city/10-boissons;Eau gazéifiée;JEKTISS;0.5L;0.450 DT
1736613405-12;https://www.geantdrive.tn/tunis-city/10-boissons;Eau de source;DELICE;0.5L;0.480 DT
1736613405-13;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;PALMA;0.5L;0.500 DT
1736613405-14;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;FRUZZY;125ML Orange;0.520 DT
1736613405-15;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;FRUZZY;125ML Tropical;0.520 DT
1736613405-16;https://www.geantdrive.tn/tunis-city/10-boissons;Eau de source;JEKTISS;1L;0.610 DT
1736613405-17;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;CRISTALINE;1.5L;0.620 DT
1736613405-18;https://www.geantdrive.tn/tunis-city/10-boissons;Eau gazéifiée;GARCI;1L;0.620 DT
1736613405-19;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;MELLITI;1.5L;0.630 DT
1736613405-20;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;AQUALINE;1L;0.630 DT
1736613405-21;https://www.geantdrive.tn/tunis-city/10-boissons;Eau de source;MIRA;0.95L;0.635 DT
1736613405-22;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;JUGO KIDS;125ML Orange;0.590 DT
1736613405-23;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;JUGO KIDS;125ML Poire;0.590 DT
1736613405-24;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;MARWA;1.5L;0.640 DT
1736613405-25;https://www.geantdrive.tn/tunis-city/10-boissons;Eau gazéifiée;JEKTISS;1L;0.645 DT
1736613405-26;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;SABRINE;1.5L;0.650 DT
1736613405-27;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;AQUALINE;1.5L;0.660 DT
1736613405-28;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;DIMA;1.5L;0.660 DT
1736613405-29;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;TIJEN;1.5L;0.670 DT
1736613405-30;https://www.geantdrive.tn/tunis-city/10-boissons;Eau de source;DELICE;1.5L;0.680 DT
1736613405-31;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;SAFIA;1.5L;0.690 DT
1736613405-32;https://www.geantdrive.tn/tunis-city/10-boissons;Eau de source;ELIXIR;1.5L;0.700 DT
1736613405-33;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;PALMA;1.5L;0.750 DT
1736613405-34;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;DIMA;2L;0.750 DT
1736613405-35;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;AQUALINE;2L;0.760 DT
1736613405-36;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;MELINA;2Litres;0.790 DT
1736613405-37;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;MIRA;2L;0.790 DT
1736613405-38;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson instantanée;FRUITO;30GR Orange;0.750 DT
1736613405-39;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson instantanée;FRUITO;30GR Citron;0.750 DT
1736613405-40;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson instantanée;FRUITO;30GR Mangue;0.750 DT
1736613405-41;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson instantanée;FRUITO;30GR Fraise;0.750 DT
1736613405-42;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;CRISTALINE;2L;0.840 DT
1736613405-43;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson instantanée;FRUITO;30GR Ananas;0.750 DT
1736613405-44;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson instantanée;FRUITO;30GR Pêche;0.750 DT
1736613405-45;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson instantanée;FRUITO;30GR Cocktail;0.750 DT
1736613405-46;https://www.geantdrive.tn/tunis-city/10-boissons;Eau minérale;FOURAT;2L;0.850 DT
1736613405-47;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;DELICE;20CL Ananas;0.870 DT
1736613405-48;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;STIL;20CL Pêche;0.870 DT
1736613405-49;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;STIL;20CL Orange-Banane Bnino;0.870 DT
1736613405-50;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;STIL;20CL Ananas;0.870 DT
1736613405-51;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;STIL;20CL Fraise-Banane Bnino;0.870 DT
1736613405-52;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;STIL;20CL Mangue;0.870 DT
1736613405-53;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;DELICE;20CL Mangue;0.870 DT
1736613405-54;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;STIL;20CL Orange;0.870 DT
1736613405-55;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;STIL;20CL Frutto Bnino;0.870 DT
1736613405-56;https://www.geantdrive.tn/tunis-city/10-boissons;Nectar;DELICE;20CL Multi Vitaminée;0.870 DT
1736613405-57;https://www.geantdrive.tn/tunis-city/10-boissons;Boisson au jus;DELICE;20CL Orange;0.870 DT
