web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736611785-1;https://www.geantdrive.tn/tunis-city/31-epicerie;Lentille beldi;RIMA;;9.500 DT/ Kg
1736611785-2;https://www.geantdrive.tn/tunis-city/31-epicerie;Carvi moulu;RIMA;;28.500 DT/ Kg
1736611785-3;https://www.geantdrive.tn/tunis-city/31-epicerie;Chocolat;BABY SAID;;0.210 DT
1736611785-4;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte millet;RANDA;;0.225 DT
1736611785-5;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte millet;L'EPI D'OR;;0.225 DT
1736611785-6;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâtes chorba;SPIGA;;0.225 DT
1736611785-7;https://www.geantdrive.tn/tunis-city/31-epicerie;Gâteau;BREAK KIDS;;0.240 DT
1736611785-8;https://www.geantdrive.tn/tunis-city/31-epicerie;Gâteau;BREAK KIDS;;0.240 DT
1736611785-9;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette;ROCKY;;0.270 DT
1736611785-10;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette;ROCKY;;0.270 DT
1736611785-11;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette;SWING;;0.280 DT
1736611785-12;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette;GAUCHO;;0.300 DT
1736611785-13;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrettes;GAUCHO;;0.300 DT
1736611785-14;https://www.geantdrive.tn/tunis-city/31-epicerie;Chocolat fourré;KROSS;;0.310 DT
1736611785-15;https://www.geantdrive.tn/tunis-city/31-epicerie;Chocolat fourré;KROSS;;0.310 DT
1736611785-16;https://www.geantdrive.tn/tunis-city/31-epicerie;Chocolat fourré;KROSS;;0.310 DT
1736611785-17;https://www.geantdrive.tn/tunis-city/31-epicerie;Chocolat fourré;KROSS;;0.310 DT
1736611785-18;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrettes mini;LINGOT;;0.330 DT
1736611785-19;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon gélifié;JELLINO;;0.330 DT
1736611785-20;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon gélifié;JELLINO;;0.330 DT
1736611785-21;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon gélifié;HAPPY FULL;;0.340 DT
1736611785-22;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon gélifié;HAPPY FULL;;0.340 DT
1736611785-23;https://www.geantdrive.tn/tunis-city/31-epicerie;Barre biscuitée;FIDJI;;0.390 DT
1736611785-24;https://www.geantdrive.tn/tunis-city/31-epicerie;Barre biscuitée;FIDJI;;0.390 DT
1736611785-25;https://www.geantdrive.tn/tunis-city/31-epicerie;Barre biscuitée chocol...;FIDJI;;0.390 DT
1736611785-26;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon gélifié;FALFOUL;;0.390 DT
1736611785-27;https://www.geantdrive.tn/tunis-city/31-epicerie;Poudre instantanée cho...;O'PPA;;0.390 DT
1736611785-28;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon gélifié;FALFOUL;;0.390 DT
1736611785-29;https://www.geantdrive.tn/tunis-city/31-epicerie;Couscous moyen;DIARI;;0.400 DT
1736611785-30;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte maglietta;SANABEL CARTHAGE;;0.410 DT
1736611785-31;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte mhammas;LA ROSE BLANCHE;;0.410 DT
1736611785-32;https://www.geantdrive.tn/tunis-city/31-epicerie;Spaghetti bucatini;SPIGA;;0.410 DT
1736611785-33;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte spaghetti;LA ROSE BLANCHE;;0.410 DT
1736611785-34;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell;L'EPI D'OR;;0.410 DT
1736611785-35;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell;SANABEL CARTHAGE;;0.410 DT
1736611785-36;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell;SPIGA;;0.410 DT
1736611785-37;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coude;LA ROSE BLANCHE;;0.410 DT
1736611785-38;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte spaghetti;SPIGA;;0.410 DT
1736611785-39;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâtes coupée cavatoni;LA ROSE BLANCHE;;0.410 DT
1736611785-40;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plume courte;LA ROSE BLANCHE;;0.410 DT
1736611785-41;https://www.geantdrive.tn/tunis-city/31-epicerie;Chocolat instantané;SAID;;0.410 DT
1736611785-42;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte Mini Escargot;LA ROSE BLANCHE;;0.410 DT
1736611785-43;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell rayée;SPIGA;;0.410 DT
1736611785-44;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plomb fin;RANDA;;0.410 DT
1736611785-45;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell;LA ROSE BLANCHE;;0.410 DT
1736611785-46;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte spaghetti;L'EPI D'OR;;0.410 DT
1736611785-47;https://www.geantdrive.tn/tunis-city/31-epicerie;Spaghetti;SANABEL CARTHAGE;;0.410 DT
1736611785-48;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte nouille;SPIGA;;0.410 DT
1736611785-49;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte ressort;SANABEL CARTHAGE;;0.410 DT
1736611785-50;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte escargot;RANDA;;0.410 DT
1736611785-51;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte flamingo;LA ROSE BLANCHE;;0.410 DT
1736611785-52;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plomb;L'EPI D'OR;;0.410 DT
1736611785-53;https://www.geantdrive.tn/tunis-city/31-epicerie;Spaghetti;SANABEL CARTHAGE;;0.410 DT
1736611785-54;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte mhammas;SPIGA;;0.410 DT
1736611785-55;https://www.geantdrive.tn/tunis-city/31-epicerie;Spaghetti;SPIGA;;0.410 DT
1736611785-56;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coupée fell;L'EPI D'OR;;0.410 DT
1736611785-57;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte langue d'oiseau;RANDA;;0.410 DT
1736611785-58;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte langue d'oiseau;LA ROSE BLANCHE;;0.410 DT
1736611785-59;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plume;SANABEL CARTHAGE;;0.410 DT
1736611785-60;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte escargot;LA ROSE BLANCHE;;0.410 DT
1736611785-61;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plume;L'EPI D'OR;;0.410 DT
1736611785-62;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâtes coquillettes;SANABEL CARTHAGE;;0.410 DT
1736611785-63;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell;SANABEL CARTHAGE;;0.410 DT
1736611785-64;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte ressort;RANDA;;0.410 DT
1736611785-65;https://www.geantdrive.tn/tunis-city/31-epicerie;copy of Pâte plomb;L'EPI D'OR;;0.410 DT
1736611785-66;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâtes cavatoni;SPIGA;;0.410 DT
1736611785-67;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coude;RANDA;;0.410 DT
1736611785-68;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte nouille;LA ROSE BLANCHE;;0.410 DT
1736611785-69;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte spaghetti troué;L'EPI D'OR;;0.410 DT
1736611785-70;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coude;L'EPI D'OR;;0.410 DT
1736611785-71;https://www.geantdrive.tn/tunis-city/31-epicerie;Chorba millet;L'EPI D'OR;;0.410 DT
1736611785-72;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte maglietta;L'EPI D'OR;;0.410 DT
1736611785-73;https://www.geantdrive.tn/tunis-city/31-epicerie;Spaghetti;SANABEL CARTHAGE;;0.410 DT
1736611785-74;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell;SPIGA;;0.410 DT
1736611785-75;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coupée fell;L'EPI D'OR;;0.410 DT
1736611785-76;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte spaghetti super;RANDA;;0.410 DT
1736611785-77;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte mhammas;LA ROSE BLANCHE;;0.410 DT
1736611785-78;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte maglietta;LA ROSE BLANCHE;;0.410 DT
1736611785-79;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâtes cavatoni;SANABEL CARTHAGE;;0.410 DT
1736611785-80;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte longue nouille;RANDA;;0.410 DT
1736611785-81;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell rigati;L'EPI D'OR;;0.410 DT
1736611785-82;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte chorba langue oiseau;SPIGA;;0.410 DT
1736611785-83;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâtes coquillages;SPIGA;;0.410 DT
1736611785-84;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell;SANABEL CARTHAGE;;0.410 DT
1736611785-85;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte vermicelle;LA ROSE BLANCHE;;0.410 DT
1736611785-86;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte chorba langue oiseau;L'EPI D'OR;;0.410 DT
1736611785-87;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâtes coude;SPIGA;;0.410 DT
1736611785-88;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte maglietta;LA ROSE BLANCHE;;0.410 DT
1736611785-89;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coude;LA ROSE BLANCHE;;0.410 DT
1736611785-90;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte maglietta;L'EPI D'OR;;0.410 DT
1736611785-91;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâtes coude;SPIGA;;0.410 DT
1736611785-92;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte escargots;L'EPI D'OR;;0.410 DT
1736611785-93;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte escargot;SANABEL CARTHAGE;;0.410 DT
1736611785-94;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte cavatoni;RANDA;;0.410 DT
1736611785-95;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte fell;LA ROSE BLANCHE;;0.410 DT
1736611785-96;https://www.geantdrive.tn/tunis-city/31-epicerie;Mhamsa;SANABEL CARTHAGE;;0.410 DT
1736611785-97;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte spaghetti;RANDA;;0.410 DT
1736611785-98;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coupée fell;L'EPI D'OR;;0.410 DT
1736611785-99;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coquillette;LA ROSE BLANCHE;;0.410 DT
1736611785-100;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coquillettes;L'EPI D'OR;;0.410 DT
1736611785-101;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte langue d'oiseau;SANABEL CARTHAGE;;0.410 DT
1736611785-102;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâtes coude;SANABEL CARTHAGE;;0.410 DT
1736611785-103;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plume courte;RANDA;;0.410 DT
1736611785-104;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte coude;RANDA;;0.410 DT
1736611785-105;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte maglietta;SPIGA;;0.410 DT
1736611785-106;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte spaghetti;L'EPI D'OR;;0.410 DT
1736611785-107;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plume;L'EPI D'OR;;0.430 DT
1736611785-108;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plume;SANABEL CARTHAGE;;0.430 DT
1736611785-109;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte escargot;RANDA;;0.430 DT
1736611785-110;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte cheveux d'ange;SANABEL CARTHAGE;;0.430 DT
1736611785-111;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte cheveux d'ange;SPIGA;;0.430 DT
1736611785-112;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plume longue;RANDA;;0.430 DT
1736611785-113;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte cheveux d'ange;LA ROSE BLANCHE;;0.430 DT
1736611785-114;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte plume;SPIGA;;0.430 DT
1736611785-115;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte escargot;SPIGA;;0.430 DT
1736611785-116;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte cheveux d'ange;RANDA;;0.430 DT
1736611785-117;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte escargot;LA ROSE BLANCHE;;0.430 DT
1736611785-118;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte cheveux d'ange;L'EPI D'OR;;0.430 DT
1736611785-119;https://www.geantdrive.tn/tunis-city/31-epicerie;Thé vert super;OCT;;0.440 DT
1736611785-120;https://www.geantdrive.tn/tunis-city/31-epicerie;Sucette;PAPILLON;;0.450 DT
1736611785-121;https://www.geantdrive.tn/tunis-city/31-epicerie;Snacks;CROKIDOS;;0.460 DT
1736611785-122;https://www.geantdrive.tn/tunis-city/31-epicerie;Snacks;CROKIDOS;;0.460 DT
1736611785-123;https://www.geantdrive.tn/tunis-city/31-epicerie;Snacks;CROKIDOS;;0.460 DT
1736611785-124;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffin;LBM;;0.490 DT
1736611785-125;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffin;LBM;;0.490 DT
1736611785-126;https://www.geantdrive.tn/tunis-city/31-epicerie;Mini cake;LBM;;0.490 DT
1736611785-127;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffin;LBM;;0.490 DT
1736611785-128;https://www.geantdrive.tn/tunis-city/31-epicerie;Mini cake;LBM;;0.490 DT
1736611785-129;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffin;LBM;;0.490 DT
1736611785-130;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffin;LBM;;0.490 DT
1736611785-131;https://www.geantdrive.tn/tunis-city/31-epicerie;Cake plum;SAIDA;;0.520 DT
1736611785-132;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette;CROUSTINA;;0.530 DT
1736611785-133;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrettes;CROUSTINA;;0.530 DT
1736611785-134;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette;CROUSTINA;;0.530 DT
1736611785-135;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette;CROUSTINA;;0.530 DT
1736611785-136;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette;CROUSTINA;;0.530 DT
1736611785-137;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette;CROUSTINA;;0.530 DT
1736611785-138;https://www.geantdrive.tn/tunis-city/31-epicerie;Barre biscuitée;COMBO;;0.540 DT
1736611785-139;https://www.geantdrive.tn/tunis-city/31-epicerie;Barre biscuitée;ROXTA;;0.540 DT
1736611785-140;https://www.geantdrive.tn/tunis-city/31-epicerie;Cake;TOM;;0.540 DT
1736611785-141;https://www.geantdrive.tn/tunis-city/31-epicerie;Barre biscuitée;RICCO;;0.540 DT
1736611785-142;https://www.geantdrive.tn/tunis-city/31-epicerie;Pâte à tartiner;SAID;;0.550 DT
1736611785-143;https://www.geantdrive.tn/tunis-city/31-epicerie;Adoro classic;MOULIN D'OR;;0.550 DT
1736611785-144;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette enrobé;LINGOT;;0.550 DT
1736611785-145;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette enrobé;LINGOT;;0.550 DT
1736611785-146;https://www.geantdrive.tn/tunis-city/31-epicerie;Gaufrette enrobé;LINGOT;;0.550 DT
1736611785-147;https://www.geantdrive.tn/tunis-city/31-epicerie;Fritos;MAHBOUL;;0.560 DT
1736611785-148;https://www.geantdrive.tn/tunis-city/31-epicerie;Pop snax;MAHBOUL;;0.560 DT
1736611785-149;https://www.geantdrive.tn/tunis-city/31-epicerie;Pop snax;MAHBOUL;;0.560 DT
1736611785-150;https://www.geantdrive.tn/tunis-city/31-epicerie;Fritos;MAHBOUL;;0.560 DT
1736611785-151;https://www.geantdrive.tn/tunis-city/31-epicerie;Fritos;MAHBOUL;;0.560 DT
1736611785-152;https://www.geantdrive.tn/tunis-city/31-epicerie;Mini cake;MOULIN D'OR;;0.570 DT
1736611785-153;https://www.geantdrive.tn/tunis-city/31-epicerie;Gâteau;BREAK;;0.580 DT
1736611785-154;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon gélifié;HAPPY FULL;;0.580 DT
1736611785-155;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon gélifié;HAPPY FULL;;0.580 DT
1736611785-156;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon gélifié;HAPPY FULL;;0.580 DT
1736611785-157;https://www.geantdrive.tn/tunis-city/31-epicerie;Milk cake double;MOULIN D'OR;;0.590 DT
1736611785-158;https://www.geantdrive.tn/tunis-city/31-epicerie;Biscuit fourré;CAMPI PLUS;;0.590 DT
1736611785-159;https://www.geantdrive.tn/tunis-city/31-epicerie;Biscuit fourré;CAMPI PLUS;;0.590 DT
