web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736665372-1;https://www.geantdrive.tn/tunis-city/160-le-marche;Coriandre;;La botte;1.180 DT
1736665372-2;https://www.geantdrive.tn/tunis-city/160-le-marche;salade batavia;;La pièce;2.090 DT
1736665372-3;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain panini;;5 Pièces;3.190 DT
1736665372-4;https://www.geantdrive.tn/tunis-city/160-le-marche;Tartelette aux dattes x2;;La barquette;3.200 DT
1736665372-5;https://www.geantdrive.tn/tunis-city/160-le-marche;Tartelette 4 saisons x2;;La barquette;3.400 DT
1736665372-6;https://www.geantdrive.tn/tunis-city/160-le-marche;Tartelette au chocolat x2;;La barquette;3.700 DT
1736665372-7;https://www.geantdrive.tn/tunis-city/160-le-marche;Caprice aux amandes x4;;La barquette;5.400 DT
1736665372-8;https://www.geantdrive.tn/tunis-city/160-le-marche;Œuf frais;;15 pièces Jaune orange;8.070 DT
1736665372-9;https://www.geantdrive.tn/tunis-city/160-le-marche;Tarte aux dattes 6/8 p...;;La pièce;10.900 DT
1736665372-10;https://www.geantdrive.tn/tunis-city/160-le-marche;Chouquette au café et ...;;La barquette;11.900 DT
1736665372-11;https://www.geantdrive.tn/tunis-city/160-le-marche;Petits fours x12;;La barquette;10.290 DT
1736665372-12;https://www.geantdrive.tn/tunis-city/160-le-marche;Tutti frutti 10/12 parts;;La pièce;12.500 DT
1736665372-13;https://www.geantdrive.tn/tunis-city/160-le-marche;Tarte génoise aux frui...;;La pièce;13.000 DT
1736665372-14;https://www.geantdrive.tn/tunis-city/160-le-marche;Maigre d'élevage;;Le KG;22.500 DT/ Kg
1736665372-15;https://www.geantdrive.tn/tunis-city/160-le-marche;Loup semi-élevage;;Conditionné par 300g...;22.800 DT/ Kg
1736665372-16;https://www.geantdrive.tn/tunis-city/160-le-marche;Pageot;;Conditionné par 250g;15.800 DT/ Kg
1736665372-17;https://www.geantdrive.tn/tunis-city/160-le-marche;Daurade semi-élevage m...;;Conditionné par 350g;22.500 DT/ Kg
1736665372-18;https://www.geantdrive.tn/tunis-city/160-le-marche;Persil;;La botte;0.270 DT
1736665372-19;https://www.geantdrive.tn/tunis-city/160-le-marche;Baguette à la farine s...;;La pièce de 200g;0.310 DT
1736665372-20;https://www.geantdrive.tn/tunis-city/160-le-marche;Blette;;La pièce;0.370 DT
1736665372-21;https://www.geantdrive.tn/tunis-city/160-le-marche;Celeri vert;;La pièce;0.500 DT
1736665372-22;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain sans sel;;La pièce;0.600 DT
1736665372-23;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain céréales à l'anci...;;La pièce;0.650 DT
1736665372-24;https://www.geantdrive.tn/tunis-city/160-le-marche;Chou vert;;Conditionné par 1KG;0.670 DT/ Kg
1736665372-25;https://www.geantdrive.tn/tunis-city/160-le-marche;Chou rouge;;Conditionné par 1KG;0.670 DT/ Kg
1736665372-26;https://www.geantdrive.tn/tunis-city/160-le-marche;Baguette traditionnell...;;La pièce;0.550 DT
1736665372-27;https://www.geantdrive.tn/tunis-city/160-le-marche;Salade laitue;;La pièce;0.740 DT
1736665372-28;https://www.geantdrive.tn/tunis-city/160-le-marche;Menthe;;La botte;0.790 DT
1736665372-29;https://www.geantdrive.tn/tunis-city/160-le-marche;Pâte à pizza;;350GR;0.590 DT
1736665372-30;https://www.geantdrive.tn/tunis-city/160-le-marche;Salade romaine;;La pièce;0.850 DT
1736665372-31;https://www.geantdrive.tn/tunis-city/160-le-marche;Mini salami régaline;;80GR;0.700 DT
1736665372-32;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami dicky dicky;;85GR;0.880 DT
1736665372-33;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain;;La pièce;0.900 DT
1736665372-34;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka;;5 feuilles;0.930 DT
1736665372-35;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain en boule;;La pièce;0.950 DT
1736665372-36;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka semoule;;5 feuilles;0.950 DT
1736665372-37;https://www.geantdrive.tn/tunis-city/160-le-marche;Fenouil avec fanes;;Conditionné par 500g;0.980 DT/ Kg
1736665372-38;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka;;5 Feuilles;1.040 DT
1736665372-39;https://www.geantdrive.tn/tunis-city/160-le-marche;Tabouna pain complet;;La pièce;1.050 DT
1736665372-40;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka plate;;5 feuilles;1.070 DT
1736665372-41;https://www.geantdrive.tn/tunis-city/160-le-marche;Orange à jus;;Conditionné par 500g;1.080 DT/ Kg
1736665372-42;https://www.geantdrive.tn/tunis-city/160-le-marche;Pamplemousse rose A;;Conditionné par 1KG;1.080 DT/ Kg
