web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736665928-1;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Sac à bretelle;GEANT;;0.220 DT
1736665928-2;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Eponge;TOUS LES JOURS;;0.590 DT
1736665928-3;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Chiffon;A&A;;0.630 DT
1736665928-4;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Chamoisine;A&A;;0.690 DT
1736665928-5;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Savon de lavage;TOUS LES JOURS;;0.870 DT
1736665928-6;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Savon de lavage;TOUS LES JOURS;;0.940 DT
1736665928-7;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampons à récurer;TOUS LES JOURS;;0.950 DT
1736665928-8;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serpillère;L'ELEPHANT;;1.070 DT
1736665928-9;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Pelle à poussière;TOUS LES JOURS;;1.190 DT
1736665928-10;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Sac polypropylène réut...;;;1.190 DT
1736665928-11;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serpillère;A&A;;1.210 DT
1736665928-12;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;TOUS LES JOURS;;1.280 DT
1736665928-13;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;TOUS LES JOURS;;1.280 DT
1736665928-14;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Eponge;TOUS LES JOURS;;1.290 DT
1736665928-15;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampons à récurer;TUNIJEX ABRASIF;;1.290 DT
1736665928-16;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Sérpillère;TOUS LES JOURS;;1.300 DT
1736665928-17;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampon éponge à récurer;TOUS LES JOURS;;1.350 DT
1736665928-18;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;NOVA FRESH;;1.370 DT
1736665928-19;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampons;TUNIJEX;;1.380 DT
1736665928-20;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Savon de lavage;TOUS LES JOURS;;1.390 DT
1736665928-21;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Savon de lavage;TOUS LES JOURS;;1.450 DT
1736665928-22;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Lavette multi-usages;CLEAN;;1.500 DT
1736665928-23;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampons éponge à récurer;TUNIJEX;;1.520 DT
1736665928-24;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;CLEAN;;1.550 DT
1736665928-25;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;CLEAN;;1.550 DT
1736665928-26;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;CLEAN;;1.550 DT
1736665928-27;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampon éponge à récurer;TUNIJEX;;1.590 DT
1736665928-28;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampons à récurer;TUNIJEX;;1.690 DT
1736665928-29;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;TOUS LES JOURS;;1.790 DT
1736665928-30;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Lavettes multi-usages;TOUS LES JOURS;;1.790 DT
1736665928-31;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Savons de lavage;SAVON DE CARTHAGE;;1.790 DT
1736665928-32;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Sacs poubelle;SWEET;;1.800 DT
1736665928-33;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serviettes;LOTUS;;1.920 DT
1736665928-34;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serviettes;LOTUS;;1.920 DT
1736665928-35;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Goupillon;BSP;;1.930 DT
1736665928-36;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serviettes de table;CLEAN;;1.980 DT
1736665928-37;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Sacs poubelle;SWEET;;1.990 DT
1736665928-38;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampons à récurer;TUNIJEX;;1.990 DT
1736665928-39;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampons à récurer;TUNIJEX;;1.990 DT
1736665928-40;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampons à récurer;TUNIJEX;;2.030 DT
1736665928-41;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Mini raclette multifon...;TITIZ;;2.030 DT
1736665928-42;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serviettes de table;CLEAN;;2.070 DT
1736665928-43;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LILAS;;2.090 DT
1736665928-44;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LILAS;;2.090 DT
1736665928-45;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Sacs poubelle;CLEAN;;2.100 DT
1736665928-46;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LILAS;;2.150 DT
1736665928-47;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Tampon éponge à récure...;CORAZZI;;2.150 DT
1736665928-48;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Sacs poubelle;TOUS LES JOURS;;2.190 DT
1736665928-49;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serviette de table;TOUS LES JOURS;;2.190 DT
1736665928-50;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Savon de ménage;ROYAL;;2.190 DT
1736665928-51;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Savon de ménage;ROYAL;;2.190 DT
1736665928-52;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;LILAS;;2.250 DT
1736665928-53;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;LILAS;;2.250 DT
1736665928-54;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Papier hygiénique;LOTUS;;2.280 DT
1736665928-55;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Désodorisant sol;LILAS;;2.290 DT
1736665928-56;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Papier hygiènique;RENOVA;;2.290 DT
1736665928-57;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Désodorisant sol;LILAS;;2.290 DT
1736665928-58;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;LILAS;;2.290 DT
1736665928-59;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Désodorisant sol;LILAS;;2.290 DT
1736665928-60;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Spirale;TUNIJEX;;2.290 DT
1736665928-61;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;NADHIF;;2.300 DT
1736665928-62;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Nettoyant vitre;JUDY;;2.320 DT
1736665928-63;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serpillière non tissé;L'ELEPHANT;;2.340 DT
1736665928-64;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LILAS;;2.350 DT
1736665928-65;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Insecticide;HILAC;;2.350 DT
1736665928-66;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LILAS;;2.350 DT
1736665928-67;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LILAS;;2.350 DT
1736665928-68;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serviettes;LILAS;;2.380 DT
1736665928-69;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Serviettes;PRESTIGE;;2.390 DT
1736665928-70;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Nettoyant vitre;PANTHERE ROSE;;2.390 DT
1736665928-71;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Sacs poubelle;SWEET;;2.400 DT
1736665928-72;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Poudre mains;NADHIF;;2.400 DT
1736665928-73;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoir;KOTIS;;2.410 DT
1736665928-74;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoir;KOTIS;;2.410 DT
1736665928-75;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;KOTIS;;2.410 DT
1736665928-76;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoir;KOTIS;;2.410 DT
1736665928-77;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Chamoisine+serpillière...;A&A;;2.420 DT
1736665928-78;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Brosse chaussures;CRISTAL;;2.440 DT
1736665928-79;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LOTUS;;2.450 DT
1736665928-80;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Savons de lavage;TOUS LES JOURS;;2.450 DT
1736665928-81;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LOTUS;;2.450 DT
1736665928-82;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LOTUS;;2.450 DT
1736665928-83;https://www.geantdrive.tn/tunis-city/268-produits-menagers;Distributeur de mouchoirs;LOTUS;;2.450 DT
