web-scraper-order;web-scraper-start-url;name;price;formule
1736691708-1;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Iris Djerba Hotel & Thalasso;151.417 DT;Logement Simple
1736691708-2;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Olympic Djerba;160.230 DT;Logement Petit Déjeuner
1736691708-3;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Hotel Mizwar;173.964 DT;Logement Petit Déjeuner
1736691708-4;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Diar Yassine;206.010 DT;Logement Petit Déjeuner
1736691708-5;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Hotel Djerba Resort;215.125 DT;560.698 DT
1736691708-6;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Djerba Orient;219.744 DT;Logement Petit Déjeuner
1736691708-7;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Dar Dhiafa;350.217 DT;Logement Petit Déjeuner
1736691708-8;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;El Mouradi Djerba Menzel;351.606 DT;Soft All Inclusive
1736691708-9;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Grand Hotel Des Thermes;361.662 DT;Logement Petit Déjeuner
1736691708-10;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Bougainvillier Djerba;377.685 DT;Logement Petit Déjeuner
1736691708-11;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Sidi Mansour Djerba;480.690 DT;Soft All Inclusive
1736691708-12;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Fiesta Beach;489.846 DT;Soft All Inclusive
1736691708-13;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Hotel Riadh Meninx;563.094 DT;Soft All Inclusive
1736691708-14;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Club Calimera Yati Beach;576.828 DT;Soft All Inclusive
1736691708-15;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Royal Karthago;595.140 DT;Soft All Inclusive
1736691708-16;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Hari Club Beach Resort;601.361 DT;668.179 DT
1736691708-17;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Hasdrubal Prestige Thalassa & Spa Djerba;652.365 DT;Logement Petit Déjeuner
1736691708-18;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Hasdrubal Thalassa & Spa Djerba;652.365 DT;Logement Petit Déjeuner
1736691708-19;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Palm Azur;678.198 DT;Logement Petit Déjeuner
1736691708-20;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Djerba Golf Resort & Spa;686.700 DT;Soft All Inclusive
1736691708-21;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Djerba Aqua Resort;686.700 DT;Soft All Inclusive
1736691708-22;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Joya paradise;709.590 DT;Soft All Inclusive
1736691708-23;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Cesar Thalasso - Adult Only;709.590 DT;Soft All Inclusive
1736691708-24;https://www.touringtravel.tn/hotel/tn-djerba/tous/2025-07-01;Royal Garden Palace;915.600 DT;Logement Petit Déjeuner
