web-scraper-order;web-scraper-start-url;name;price;formule
1736691979-1;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Diar Meriam;114.450 DT;Logement Simple
1736691979-2;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;SINDBED CENTER;132.749 DT;Logement Petit Déjeuner
1736691979-3;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Houria Palace;158.617 DT;Logement Petit Déjeuner
1736691979-4;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Hôtel Monaco & Thalasso;183.120 DT;Logement Petit Déjeuner
1736691979-5;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Miramar Golf and Spa;183.120 DT;Logement Simple
1736691979-6;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;El Mouradi Club Selima;205.103 DT;Soft All Inclusive
1736691979-7;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Soviva Resort;244.596 DT;Soft All Inclusive
1736691979-8;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Hannibal Palace and spa;251.790 DT;Logement Petit Déjeuner
1736691979-9;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;El Mouradi Club Kantaoui;268.588 DT;Soft All Inclusive
1736691979-10;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;El Mouradi Port El Kantaoui;268.588 DT;Soft All Inclusive
1736691979-11;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Hasdrubal Thalassa & Spa Port El Kantaoui;276.969 DT;Logement Petit Déjeuner
1736691979-12;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Royal Jinene;315.882 DT;Logement Petit Déjeuner
1736691979-13;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;El Mouradi Palace;334.243 DT;Soft All Inclusive
1736691979-14;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;El Mouradi Palm Marina;342.925 DT;Soft All Inclusive
1736691979-15;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Marabout;345.639 DT;Soft All Inclusive
1736691979-16;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Sousse Palace;400.575 DT;Logement Petit Déjeuner
1736691979-17;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Movenpick Resort & Marine Spa;522.492 DT;Logement Petit Déjeuner
1736691979-18;https://www.touringtravel.tn/hotel/tn-sousse/tous/2025-07-01;Riadh Palms;800.967 DT;All Inclusive GOLD
