web-scraper-order,web-scraper-start-url,name,price,nb_etoiles
"1736691151-1","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Hasdrubal Prestige Thalassa & SPA Djerba","1316.75  TND","Hasdrubal Prestige Thalassa & SPA Djerba"
"1736691151-2","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Le Beau Séjour","114.00  TND","Le Beau Séjour"
"1736691151-3","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","hôtel club palm azur","732.00  TND","hôtel club palm azur"
"1736691151-4","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Club Calimera Yati Beach","604.80  TND","Club Calimera Yati Beach"
"1736691151-5","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Joya Paradise","731.60  TND","Joya Paradise"
"1736691151-6","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Riad Meninx","639.60  TND","Riad Meninx"
"1736691151-7","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Royal Karthago Resort &Thalasso","624.00  TND","Royal Karthago Resort &Thalasso"
"1736691151-8","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Fiesta Beach","585.60  TND","Fiesta Beach"
"1736691151-9","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Royal Garden Palace","960.00  TND","Royal Garden Palace"
"1736691151-10","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Hôtel Bougainvillier","396.00  TND","Hôtel Bougainvillier"
