web-scraper-order,web-scraper-start-url,name,price,nb_etoiles
"1736690808-1","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Cesar Palace","142.83  TND","Cesar Palace"
"1736690808-2","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Sousse Palace Hôtel & SPA","402.50  TND","Sousse Palace Hôtel & SPA"
"1736690808-3","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Movenpick Resort & Marine SPA","539.18  TND","Movenpick Resort & Marine SPA"
"1736690808-4","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Riadh Palms Resort and Spa","839.81  TND","Riadh Palms Resort and Spa"
"1736690808-5","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","El Mouradi Palace","386.23  TND","El Mouradi Palace"
"1736690808-6","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","El Mouradi Palm Marina","396.26  TND","El Mouradi Palm Marina"
"1736690808-7","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Hotel Royal Jiinene","336.00  TND","Hotel Royal Jiinene"
"1736690808-8","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","El Mouradi Port El Kantaoui","310.37  TND","El Mouradi Port El Kantaoui"
"1736690808-9","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Hasdrubal Thalassa & Spa Port El Kantaoui","278.30  TND","Hasdrubal Thalassa & Spa Port El Kantaoui"
"1736690808-10","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=12&hotelId=&source=&locality=Sousse%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","El Mouradi Club Kantaoui","314.12  TND","El Mouradi Club Kantaoui"
